attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,popular_mentions
Dry Creek Vineyard,"3770 Lambert Bridge Rd, Healdsburg, CA 95448-9713",95448,5.0,828,https://www.tripadvisor.com/Attraction_Review-g32482-d531667-Reviews-Dry_Creek_Vineyard-Healdsburg_Sonoma_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'chenin blanc', 'wine club', 'wine tasting', 'tasting room', 'great wine', 'beautiful grounds', 'picnic area', 'buy a bottle', 'whites and reds', 'look forward', 'barrel room', 'tasting experience', 'knowledgeable staff', 'sonoma county', 'ian', 'member', 'meritage', 'vineyard', 'wineries', 'zins', 'lawn', 'host', 'case', 'cellar', 'ranch', 'servers', 'hospitality', 'cabs', 'grapes', 'list']"
Gracianna Winery,"6914 Westside Road, Healdsburg, CA 95448-8354",95448,5.0,849,https://www.tripadvisor.com/Attraction_Review-g32482-d3367820-Reviews-Gracianna_Winery-Healdsburg_Sonoma_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'trini and lisa', 'great wine', 'tasting room', 'russian river', 'pinot noir', 'westside road', 'owners and staff', 'wine tasting', 'great family', 'beautiful setting', 'wine club', 'family history', 'sonoma county', 'wine country', 'wine maker', 'look forward', 'my favorite', 'tasting experience', 'great stop', 'healdsburg area', 'wine making', 'amador', 'loft', 'lafayette', 'winery', 'hospitality', 'medallions', 'airbnb', 'vines', 'property']"
Oakland California Temple,"4770 Lincoln Ave, Oakland, CA 94602-2535",94602,5.0,838,https://www.tripadvisor.com/Attraction_Review-g32810-d8405626-Reviews-Oakland_California_Temple-Oakland_California.html,"['Filters', 'English', 'Detailed Reviews', 'visitor center', 'jesus christ', 'virtual tour', 'sister missionaries', 'beautiful grounds', 'family history center', 'christmas lights', 'feel peace', 'peaceful place', 'rooftop garden', 'my favorite part', 'view of the bay', 'the golden gate bridge', 'san francisco', 'walk around', 'parking lot', 'spirit', 'visitors', 'sisters', 'nativity', 'lord', 'argyle', 'genealogy', 'beliefs', 'ancestors', 'saviour', 'gospel', 'testimonial', 'beauty', 'sacred']"
Redwood National Park,"Highway 101 Orick, CA, Redwood National Park, CA 95555",95555,5.0,1156,https://www.tripadvisor.com/Attraction_Review-g2193168-d210214-Reviews-Redwood_National_Park-Redwood_National_Park_California.html,"['Filters', 'English', 'Detailed Reviews', 'lady bird johnson grove', 'fern canyon', 'big trees', 'bucket list', 'awe inspiring', 'visitor center', 'beautiful trees', 'hiking trails', 'crescent city', 'elk prairie', 'amazing redwoods', 'trees of mystery', 'avenue of giants', 'scenic drive', 'banana slugs', 'nature', 'california', 'road', 'state', 'ranger', 'miles', 'newton', 'map', 'treasure', 'trillium', 'loop', 'eureka', 'camp', 'klamath', 'yosemite']"
Avenue of the Giants,"Avenue of the Giants, CA 95571",95571,5.0,979,https://www.tripadvisor.com/Attraction_Review-g7380863-d270013-Reviews-Avenue_of_the_Giants-Humboldt_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'beautiful drive', 'giant redwoods', 'founders grove', 'awe inspiring', 'humboldt redwoods state park', 'visitor center', 'pull over', 'amazing trees', 'scenic route', 'big trees', 'old growth redwoods', 'take pictures', 'san francisco', 'saints', 'forest', 'eureka', 'hwy', 'hike', 'nature', 'drury', 'california', 'loop', 'opportunities', 'pepperwood']"
"Lions, Tigers & Bears","24402 Martin Way, Alpine, CA 91901-2513",91901,5.0,1382,https://www.tripadvisor.com/Attraction_Review-g29082-d1832324-Reviews-Lions_Tigers_Bears-Alpine_California.html,"['Filters', 'English', 'Detailed Reviews', 'exotic animals', 'animal sanctuary', 'forever home', 'their lives', 'big cats', 'wonderful sanctuary', 'these beautiful creatures', 'pet trade', 'feed the animals', 'love animals', 'behind the scenes', 'eye opening', 'non profit', 'white tiger', 'awesome experience', 'great place to visit', 'san diego', 'bobbi', 'volunteers', 'rescued', 'enclosures', 'sanctuaries', 'stories', 'trafficking', 'rescues', 'rescuing', 'heartbreaking', 'zoo', 'bobcat', 'mission']"
Tunnel View,"Wawona Road, Yosemite National Park, CA 95389",95389,5.0,3071,https://www.tripadvisor.com/Attraction_Review-g61000-d593212-Reviews-Tunnel_View-Yosemite_National_Park_California.html,"['Filters', 'English', 'Detailed Reviews', 'el capitan', 'yosemite valley', 'glacier point', 'parking lot', 'bridal veil falls', 'wawona road', 'bridalveil fall', 'worth a stop', 'valley floor', 'parking area', 'half', 'dome', 'drive', 'vista', 'camera', 'clouds', 'beauty', 'points', 'snow']"
Point Lobos,"62 Ca-1, Carmel, CA 93923",93923,5.0,4834,https://www.tripadvisor.com/Attraction_Review-g32172-d102545-Reviews-Point_Lobos-Carmel_Monterey_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'sea lions', 'the reserve', 'cypress grove trail', 'whalers cove', 'bird island', 'north shore', 'tide pools', 'poison oak', 'easy hike', 'beautiful park', 'state park', 'on the rocks', 'saw seals', 'hiking trails', 'big sur', 'arrive early', 'coastal views', 'china cove', 'picnic tables', 'entry fee', 'parking lot', 'parking area', 'few hours', 'clams', 'parking is limited', 'natural beauty', 'carmel area', 'gibson beach', 'mile drive', 'wildlife']"
Fisherman's Wharf,"Jefferson Street Between Hyde and Powell Streets, San Francisco, CA 94133",94133,4.0,19524,https://www.tripadvisor.com/Attraction_Review-g60713-d108678-Reviews-Fisherman_s_Wharf-San_Francisco_California.html,"['Filters', 'English', 'Detailed Reviews', 'seafood', 'sea lions', 'clam chowder', 'street performers', 'souvenir shops', 'boudin bakery', 'ghirardelli square', 'walk around', 'cable car', 'wharf', 'tourists', 'alcatraz', 'bay', 'attractions', 'piers', 'sf', 'submarine', 'stroll', 'vendors', 'ships', 'aquarium']"
Santa Monica Pier,"200 Santa Monica Pier, Santa Monica, CA 90401-3126",90401,4.0,19138,https://www.tripadvisor.com/Attraction_Review-g33052-d104238-Reviews-Santa_Monica_Pier-Santa_Monica_California.html,"['Filters', 'English', 'Detailed Reviews', 'ferris wheel', 'amusement park', 'souvenir shops', 'bubba gump', 'carnival rides', 'people watching', 'merry go round', 'fun place', 'great place to visit', 'pacific park', 'nice walk', 'few hours', 'lots of fun', 'street performers', 'los angeles', 'pier', 'end', 'restaurants', 'route', 'parking', 'arcade', 'games', 'sunset', 'ocean', 'fishing', 'entertainment', 'landmark', 'stroll', 'sign', 'musicians']"
Pine Ridge Vineyards,"5901 Silverado Trl, Napa, CA 94558-9417",94558,5.0,476,https://www.tripadvisor.com/Attraction_Review-g32766-d107868-Reviews-Pine_Ridge_Vineyards-Napa_Napa_Valley_California.html,"['Filters', 'English', 'Detailed Reviews', 'cave tour', 'chenin blanc', 'wine tasting', 'tasting room', 'wine caves', 'tasting experience', 'wine club', 'great wine', 'stags leap', 'club members', 'beautiful setting', 'favorite wineries', 'tasting area', 'private tasting', 'awesome experience', 'visiting napa', 'wine making', 'napa area', 'cabs', 'winery', 'host', 'bottle', 'cellar', 'cheese', 'reds', 'shipment', 'grapes', 'patio', 'reservation', 'chris']"
Disney California Adventure Park,"1313 Disneyland Drive, Anaheim, CA 92803-3232",92803,4.5,15659,https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-Disney_California_Adventure_Park-Anaheim_California.html,"['Filters', 'English', 'Detailed Reviews', 'tower of terror', 'radiator springs', 'cars ride', 'california adventure', 'fast pass', 'roller coaster', 'toy story mania', 'grizzly river run', 'bugs land', 'little mermaid', 'water show', 'adventure park', 'single rider line', 'all ages', 'favorite ride', 'lots of fun', 'worth the wait', 'wait times', 'great ride', 'minute wait', 'popular rides', 'day pass', 'cast members', 'happiest place on earth', 'attractions', 'disney', 'lines', 'carsland', 'soarin', 'dca']"
Highway 1 Road Trip,"Highway 1, San Luis Obispo, CA 93401",93401,5.0,166,https://www.tripadvisor.com/Attraction_Review-g33026-d12206572-Reviews-Highway_1_Road_Trip-San_Luis_Obispo_San_Luis_Obispo_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'beautiful drive', 'the elephant seal rookery', 'beautiful ocean', 'hairpin turns', 'sea lions', 'coastline', 'california', 'curve', 'overs', 'wildlife', 'population', 'opportunities', 'hiking', 'fog', 'slo', 'creek']"
